sku,name,cost,Platform Overlap,Both,Only Zoey
ONBJ14BK,Ned Bug 1/4oz Black,4.91,Both,,
ONBJ14G,Ned Bug 1/4oz Goby,4.91,Both,,
ONBJ14CRC,Ned Bug 1/4oz Raw Craw,4.91,Both,,
ONBJ516BK,Ned Bug 5/16oz Black,4.91,Both,,
ONBJ516G,Ned Bug 5/16oz Goby,4.91,Both,,
ONBJ516RC,Ned Bug 5/16oz Raw Craw,4.91,Both,,
ONBJ38BK,Ned Bug 3/8oz Black,4.91,Both,,
ONBJ38G,Ned Bug 3/8oz Goby,4.91,Both,,
ONBJ38RC,Ned Bug 3/8oz Raw Craw,4.91,Both,,
OCJ12P,Chicken Jig 1/2oz Pinky,7.54,Both,,
OCJ12GS,Chicken Jig 1/2oz Guntersville Shad,7.54,Both,,
OCJ12C,Chicken Jig 1/2oz Crappie,7.54,Both,,
OCJ58P,Chicken Jig 5/8oz Pinky,7.54,Both,,
OCJ58GS,Chicken Jig 5/8oz Guntersville Shad,7.54,Both,,
OCJ58C,Chicken Jig 5/8oz Crappie,7.54,Both,,
OCJ34P,Chicken Jig 3/4oz Pinky,7.54,Both,,
OCJ34GS,Chicken Jig 3/4oz Guntersville Shad,7.54,Both,,
OCJ34C,Chicken Jig 3/4oz Crappie,7.54,Both,,
OJPJ14BG,JackPot Jig 1/4oz Bluegill,3.21,Both,,
OJPJ14GS,JackPot Jig 1/4oz Guntersville Shad,3.21,Both,,
OJPJ14BBP,JackPot Jig 1/4oz Black/Blue/Purple,3.21,Both,,
OJPJ14RS,JackPot Jig 1/4oz Rainbow Shad,3.21,Both,,
OJPJ38BG,JackPot Jig 3/8oz Bluegill,3.21,Both,,
OJPJ38GS,JackPot Jig 3/8oz Guntersville Shad,3.21,Both,,
OJPJ38BBP,JackPot Jig 3/8oz Black/Blue/Purple,3.21,Both,,
OJPJ38RS,JackPot Jig 3/8oz Rainbow Shad,3.21,Both,,
OJPJ12BG,JackPot Jig 1/2oz Bluegill,3.21,Both,,
OJPJ12GS,JackPot Jig 1/2oz Guntersville Shad,3.21,Both,,
OJPJ12BBP,JackPot Jig 1/2oz Black/Blue/Purple,3.21,Both,,
OJPJ12RS,JackPot Jig 1/2oz Rainbow Shad,3.21,Both,,
OJPJ34BG,JackPot Jig 3/4oz Bluegill,3.21,Both,,
OJPJ34GS,JackPot Jig 3/4oz Guntersville Shad,3.21,Both,,
OJPJ34BBP,JackPot Jig 3/4oz Black/Blue/Purple,3.21,Both,,
OJPJ34RS,JackPot Jig 3/4oz Rainbow Shad,3.21,Both,,
ORL1810,Radar Love 1/8 oz,2.94,Both,,
ORL31620,Radar Love 3/16 oz,2.94,Both,,
ORL1430,Radar Love 1/4 oz,2.94,Both,,
OED16B,Eyedrop 1/16oz Black,3.5,Both,,
OED16SH,Eyedrop 1/16oz Shad,3.5,Both,,
OFJB38,Frog Jig Bullfrog 3/8 oz,3.21,Only Zoey,,
OFJB12,Frog Jig Bullfrog 1/2 oz,3.21,Only Zoey,,
OFJL38,Frog Jig Leopard 3/8 oz,3.21,Only Zoey,,
OFJL12,Frog Jig Leopard 1/2 oz,3.21,Only Zoey,,
OFJP38,Frog Jig Pickerel 3/8 oz,3.21,Only Zoey,,
