sku,name,cost,wholesale_price,msrp,is_discontinued,qty_zoey,qty_shopify,on_hand,units_4w,units_13w,units_52w,rev_zoey_30d,rev_shopify_30d,rev_zoey_7d,rev_shopify_7d,rev_total_30d,rev_total_7d,daily_vel_4w,daily_vel_13w,daily_vel,days_cover,months_cover,lead_time_days,target_units,suggested_order_qty,reorder_flag,overstock_flag,inventory_value,excess_inv_value,blended_price,gp_per_sku
Skirt-SAS-5pk,Swim Jig Skirt Alabama Shad,1.8,3.47,5.99,True,12.0,0.0,12.0,6.0,24.0,54.0,19.74,0.0,0.0,0.0,19.74,0.0,0.21428571428571427,0.26373626373626374,0.26373626373626374,45.5,1.6,180,53.0,41.0,True,False,21.6,0.0,4.23,29.16
OJJ12BB,Juice Jig 1/2oz Black Blue,1.96,3.47,5.99,False,96.0,0.0,96.0,46.0,170.0,456.0,78.96,149.75,0.0,0.0,228.71,0.0,1.6428571428571428,1.8681318681318682,1.8681318681318682,51.4,1.8,180,374.0,278.0,True,False,188.16,0.0,4.23,217.92
OCFJ38CH,Cage Fighter Jig 3/8oz Chocolate,3.2,4.92,8.99,False,0.0,4.0,4.0,1.0,7.0,10.0,0.0,9.99,0.0,0.0,9.99,0.0,0.03571428571428571,0.07692307692307693,0.07692307692307693,52.0,1.9,180,15.0,11.0,True,False,12.8,0.0,6.14,11.76
OJJ38WRC,Juice Jig 3/8oz Watermelon Red Craw,1.96,3.47,5.99,False,36.0,13.0,49.0,20.0,79.0,141.0,39.48,47.92,0.0,5.99,87.4,5.99,0.7142857142857143,0.8681318681318682,0.8681318681318682,56.4,2.0,180,174.0,125.0,True,False,96.04,0.0,4.23,111.23
OJPJ14BBP,JackPot Jig 1/4oz Black/Blue/Purple,3.21,5.21,8.99,False,54.0,6.0,60.0,7.0,94.0,144.0,0.0,71.92,0.0,0.0,71.92,0.0,0.25,1.032967032967033,1.032967032967033,58.1,2.1,180,207.0,147.0,True,False,192.6,0.0,6.34,187.8
OSJH38GS,Pro Swim Jig Heavy 3/8oz Ghost Shad,2.16,3.47,5.99,False,48.0,0.0,48.0,19.0,74.0,140.0,19.74,77.87,0.0,0.0,97.61,0.0,0.6785714285714286,0.8131868131868132,0.8131868131868132,59.0,2.1,180,163.0,115.0,True,False,103.68,0.0,4.23,99.36
OJJ38UC,Juice Jig 3/8oz Upshaw (Natural) Craw,1.96,3.47,5.99,False,66.0,6.0,72.0,27.0,98.0,213.0,40.56,89.85,0.0,0.0,130.41,0.0,0.9642857142857143,1.0769230769230769,1.0769230769230769,66.9,2.4,180,215.0,143.0,True,False,141.12,0.0,4.23,163.44
OSNT31640B,Shake N' Take 3/16oz (4/0) Black 3pk,2.0,3.89,6.49,False,18.0,9.0,27.0,6.0,33.0,63.0,21.42,0.0,0.0,0.0,21.42,0.0,0.21428571428571427,0.3626373626373626,0.3626373626373626,74.5,2.7,180,73.0,46.0,True,False,54.0,0.0,4.67,72.09
OGSH1830UN,Golden Eye Swimmer Head 1/8oz (3/0)Unpainted - 2pk,1.82,3.47,5.99,False,90.0,9.0,99.0,24.0,120.0,405.0,83.28,0.0,0.0,0.0,83.28,0.0,0.8571428571428571,1.3186813186813187,1.3186813186813187,75.1,2.7,180,264.0,165.0,True,False,180.18,0.0,4.23,238.59
OJPJ12BBP,JackPot Jig 1/2oz Black/Blue/Purple,3.21,5.21,8.99,False,72.0,7.0,79.0,17.0,95.0,165.0,60.9,44.95,0.0,0.0,105.85,0.0,0.6071428571428571,1.043956043956044,1.043956043956044,75.7,2.7,180,209.0,130.0,True,False,253.59,0.0,6.34,247.27
OTI-OFNF18-SH-2,Float N Fly 1/8oz Shad 2pk,3.01,6.37,10.99,False,48.0,10.0,58.0,5.0,68.0,106.0,0.0,54.95,0.0,0.0,54.95,0.0,0.17857142857142858,0.7472527472527473,0.7472527472527473,77.6,2.8,180,149.0,91.0,True,False,174.58,0.0,7.76,275.5
OSJH38WR,Pro Swim Jig Heavy 3/8oz White Rainbow,2.16,3.47,5.99,False,54.0,17.0,71.0,17.0,82.0,131.0,19.74,65.89,0.0,0.0,85.63,0.0,0.6071428571428571,0.9010989010989011,0.9010989010989011,78.8,2.8,180,180.0,109.0,True,False,153.36,0.0,4.23,146.97
OSJ14WL,Pro Swim Jig 1/4oz White Lightning,2.16,3.47,5.99,False,18.0,10.0,28.0,16.0,32.0,71.0,40.56,23.96,0.0,0.0,64.52,0.0,0.5714285714285714,0.3516483516483517,0.3516483516483517,79.6,2.8,180,70.0,42.0,True,False,60.48,0.0,4.23,57.96
355-SIB-A,Jig Life Hat,15.0,29.99,29.99,False,0.0,8.0,8.0,1.0,9.0,14.0,0.0,29.99,0.0,0.0,29.99,0.0,0.03571428571428571,0.0989010989010989,0.0989010989010989,80.9,2.9,180,20.0,12.0,True,False,120.0,0.0,29.99,119.92
OSFJ38FC,Stealth Fighter Jig 3/8oz Fighter Craw,3.2,4.92,8.99,False,0.0,35.0,35.0,16.0,37.0,51.0,0.0,159.84,0.0,79.92,159.84,79.92,0.5714285714285714,0.4065934065934066,0.4065934065934066,86.1,3.1,180,81.0,46.0,True,False,112.0,0.0,6.14,102.9
OJJ12PBJ,Juice Jig 1/2oz PB&J,1.96,3.47,5.99,False,96.0,2.0,98.0,35.0,99.0,275.0,59.22,119.8,0.0,17.97,179.02,17.97,1.25,1.0879120879120878,1.0879120879120878,90.1,3.2,180,218.0,120.0,True,False,192.08,0.0,4.23,222.46
OGSH1440GP,Golden Eye Swimmer Head 1/4oz (4/0) Green Pumpkin - 2pk,1.82,3.47,5.99,False,36.0,10.0,46.0,18.0,44.0,62.0,61.38,5.99,0.0,0.0,67.37,0.0,0.6428571428571429,0.4835164835164835,0.4835164835164835,95.1,3.4,180,97.0,51.0,True,False,83.72,0.0,4.23,110.86
OSNT31640GP,Shake N' Take 3/16oz (4/0) Green Pumpkin 3pk,2.0,3.89,6.49,False,24.0,10.0,34.0,6.0,30.0,60.0,21.42,0.0,0.0,0.0,21.42,0.0,0.21428571428571427,0.32967032967032966,0.32967032967032966,103.1,3.7,180,66.0,32.0,True,False,68.0,0.0,4.67,90.78
OSJH38BB,Pro Swim Jig Heavy 3/8oz Black Blue,2.16,3.47,5.99,False,180.0,2.0,182.0,24.0,153.0,242.0,40.56,71.88,0.0,5.99,112.44,5.99,0.8571428571428571,1.6813186813186813,1.6813186813186813,108.2,3.9,180,336.0,154.0,True,False,393.12,0.0,4.23,376.74
112-BNK-A,Jig Life Hat,15.0,29.99,29.99,False,0.0,6.0,6.0,1.0,5.0,14.0,0.0,29.99,0.0,0.0,29.99,0.0,0.03571428571428571,0.054945054945054944,0.054945054945054944,109.2,3.9,180,11.0,5.0,True,False,90.0,0.0,29.99,89.94
112-BRKH,Jig Life Hat,15.0,29.99,29.99,False,0.0,10.0,10.0,1.0,8.0,11.0,0.0,29.99,0.0,0.0,29.99,0.0,0.03571428571428571,0.08791208791208792,0.08791208791208792,113.7,4.1,180,18.0,8.0,True,False,150.0,0.0,29.99,149.9
OSJH14AS,Pro Swim Jig Heavy 1/4oz Alabama Shad,2.16,3.47,5.99,False,54.0,4.0,58.0,15.0,46.0,74.0,19.74,54.97,0.0,13.04,74.71,13.04,0.5357142857142857,0.5054945054945055,0.5054945054945055,114.7,4.1,180,101.0,43.0,True,False,125.28,0.0,4.23,120.06
OJJ12WRC,Juice Jig 1/2oz Watermelon Red Craw,1.96,3.47,5.99,False,96.0,5.0,101.0,25.0,76.0,119.0,19.74,119.8,0.0,11.98,139.54,11.98,0.8928571428571429,0.8351648351648352,0.8351648351648352,120.9,4.3,180,167.0,66.0,True,False,197.96,0.0,4.23,229.27
